movieId,review_text
1,"Amazing movie, heartwarming and fun"
1,"Loved the characters and the story"
1,"A timeless classic, great for all ages"
2,"Very boring and too slow"
2,"Did not enjoy the plot at all"
3,"Good action and thrilling scenes"
3,"Exciting and engaging movie"
4,"Poor acting and weak storyline"
4,"Not worth the time"
5,"Visually stunning and emotionally powerful"
2355,"Classic Pixar film, heartwarming and funny"
78499,"Emotional and satisfying conclusion"
3753,"Hilarious and clever Disney animation"
